日付,時刻,番組名（映画名）
2026/03/01,44:30,映画検定2026受験ガイド3:45 バック・トゥ・ザ・ 3:20 ビートルジュース 3:30 ベルナデット 最強の 4:30 日本統一60 3:10 IT／イット“それ”が見 4:10 カンフー・ジャングル 4:45 メガヒット劇場
2026/03/01,10:50,絆 －きずな－ 10:10 見える子ちゃん 10:40 サイドカーに犬 〔PG12〕
2026/03/01,00:00,ラッシュアワー 0:00 ちはやふる－下の句－ 0:00 第98回アカデミー賞直前徹底ガイド シリーズ５作品一挙放送
2026/03/01,33:15,ラッシュアワー３ 3:10 ウィークエンドエンタ！ 雪の花－ともに在りて－3:00 スオミの話をしよう 魔宮の伝説
2026/03/01,77:00,Ｄｉｎｅｒ ダイナー 7:15 斉木楠雄のΨ難 7:00 今日から俺は!!劇場版 7:00 コーダ あいのうた ／クリスタル・スカル
2026/03/01,99:00,Ｗ座からの招待状 9:00 あなたの映画館 9:00 卒業(1967) 9:00 マーガレット・サッチ 9:00 グリーンブック 9:00 ウィークエンドエンタ！ メガヒット劇場
2026/03/01,10:45,秘顔 ひがん 10:45 ウィークエンドエンタ！ サブスタンス
2026/03/01,11:30,モーターサイクル・ 劇場版プロジェクトセ 〔Ｒ-15〕 A BETTER ［Ｒ15＋指定版］ 私たちの選択
2026/03/01,33:45,バック・トゥ・ザ・フュー3:20 ビートルジュース 3:15 日本統一59 3:10 IT／イット“それ”が見えた 3:00 夏の砂の上 リン国際映画祭2026］
2026/03/01,43:00,映画に出会う！［ベル 3:15 グエムル 漢江の怪物 4:45 欧州サッカー UEFA 4:45 欧州サッカー UEFA 3:00 Cloud クラウド 3:40 劇場版 君と世界が終わ4:50 オール・アバウト・ 4:50 リメンバー・ミー(2017)
2026/03/01,77:00,LOVE 7:10 めくらやなぎと眠る女 7:15 プチ・ニコラ 7:15 古の王子と３つの花 〔PG12〕 〔PG12〕
2026/03/01,99:10,ロボット・ドリームズ 9:00 湯道 9:15 侍タイムスリッパー 直前徹底ガイド 9:20 ボヘミアン・ラプソディ
2026/03/01,10:30,午前０時、キスしに来 網走監獄襲撃編』公開記念特番#1 と運命のダイヤル
2026/03/01,11:15,私たちは天国には行け 1:00 大統領暗殺裁判 1:10 1980 僕たちの光州事件 1:00 キングダム２ 1:20 冬の日
2026/03/01,33:15,ウィークエンドエンタ！3:10 裏社員。－スパイやら 〔PG12相当〕 3:00 ハイ・ローラーズ 3:15 キングダム 〔PG12〕
2026/03/01,55:00,映画「おいハンサム!!」5:00 ウィークエンドエンタ！ 5:00 満ち足りた家族 大火災 5:00 ウィークエンドエンタ！
2026/03/01,77:10,ロスト・フライト 7:00 極主夫道 ザ・シネマ について」放送記念！ 7:00 「近畿地方のある場所 について」放送記念！ 7:00 消防士 2001年、闘い Heart 心はずむ 楽器たち
2026/03/01,99:00,レディ・プレイヤー１ 9:00 華麗なるギャツビー 9:00 ビッグ・フィッシュ 9:00 ジャパンプレミア 9:00 ウィークエンドエンタ！ 赤楚衛二 特集 メガヒット劇場9:00 Ｗ座からの招待状 9:00 ブラック・ロータス
2026/03/01,10:30,ANORA アノーラ ノー・アザー・ランド 10:45 あなたの映画館
2026/03/01,11:30,あなたの映画館 11:30 ツォツィ 〔Ｒ指定〕 11:45 世界にひとつのプレイ 〔PG12〕
2026/03/01,33:15,グエムル 漢江の怪物 3:15 インデペンデンス・デイ3:15 イレイザーヘッド 3:00 Cloud クラウド 3:40 劇場版 君と世界が終わ 〔Ｒ15＋〕 〔PG12〕 アーズ 決戦！九龍城砦
2026/03/01,44:50,絶賛公開中！映画『ゴールデンカムイ4:45 欧州サッカー UEFA 4:45 欧州サッカー UEFA 4:45 欧州サッカー UEFA 3:30 ハリケーン(1979) 4:35 橋ものがたり 4:40 ワンス・アンド・フォー4:10 ドロステのはてで僕ら
2026/03/01,55:00,シングル・イン・ソウル ベスト16 ２nd leg ベスト16 ２nd leg ベスト16 ２nd leg
2026/03/01,11:50,セブン 「ジュラシック・パーク」11:45 orange－オレンジ－ ッド＞～帝国の進撃～ 11:45 ファンシイダンス
2026/03/01,33:00,ラ・コシーナ／厨房 3:10 セプテンバー５ 3:15 最新作放送記念！ 3:00 ウィークエンドエンタ！
2026/03/01,99:00,スカーレット 9:00 盗月者 9:00 科捜研の女 -劇場版- 9:00 祝日イチオシ映画 品一挙放送 メガヒット劇場9:00 Ｗ座からの招待状 9:00 あなたの映画館 9:00 クリフハンガー
2026/03/01,10:30,ウィークエンドエンタ！ 10:45 FOG OF WAR
2026/03/01,00:40,異人たち 0:40 ストレンジ・ダーリン 0:30 シン・仮面ライダー 0:30 リライト 0:30 科捜研の女 -劇場版-
2026/03/01,42:30,放送機器の点検・保守 4:15 千利休 本覺坊遺文 4:30 トゥームレイダー 4:40 遅いしあわせ 4:30 極主夫道 ザ・シネマ 4:10 山田くんとLv999の恋 3:15 ベテラン
2026/03/01,10:50,涙そうそう 10:30 シンシン／SING SING 出会いを描いた映画たち10:40 エクスペンダブルズ
2026/03/01,33:00,トップガン マーヴェリ レコニング 出会いを描いた映画たち3:10 時をかける少女(2006)3:00 ラ・ラ・ランド
2026/03/01,55:20,雪の華 5:00 Ｗ座からの招待状 5:20 春のアニメスペシャル 日日是好日 5:00 君の名は。 5:15 ウィークエンドエンタ！ 英雄編
2026/03/01,77:30,ワールドシネマセレクション7:15 ワールドシネマセレク ※最新情報はWOWOW フラガール 7:00 映画版 変な家 7:15 あなたの映画館 〔PG12〕
2026/03/01,87:45,ワールドシネマセレクション フォーチュンクッキー ご確認ください 8:00 「かくかくしかじか」放送記
2026/03/01,99:00,サマリタン 9:00 ジャパンプレミア 9:00 ウィークエンドエンタ！ いた映画たち メガヒット劇場9:00 Ｗ座からの招待状 9:00 あの人が消えた 9:00 東京リベンジャーズ２
2026/03/01,10:45,アビス 罪の代償 10:45 哭戦 オペレーション・10:45 エレベーション 10:45 ウィークエンドエンタ！10:40 東京リベンジャーズ２
2026/03/01,22:10,ツイスターズ 2:20 「北方謙三 水滸伝」徹底解剖！#32:10 リボルバー(2024)
